,Location_of_Death
"Syria-TÃ¼rkiye border, Idlib Governorate, Syria - en route to Iskenderun, TÃ¼rkiye",3
"Rio Bravo, El Patinadero, Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico",3
"Unspecified location in the Channel of Sicily, off the coast of Italy",3
"Desert near Aswan, Egypt",3
"Evros/MeriÃ§ River, MeriÃ§ District, TÃ¼rkiye",3
" Unspecified location near Turquesa River, Comarca EmberÃ¡-CÃ©maco, Darien National Park",3
"French entrance to Channel Tunnel, France",3
"Sahara Desert, between Khartoum, Sudan and Ajdabiya, Libya",3
"Eurotunnel, France",3
"Remains washed ashore at Almabni, Benghazi, Libya",3
Coast of Libya,3
Italian waters,3
"Unspecified location in forest of Greece, shortly after crossing border from TÃ¼rkiye",2
"Near Sabha, Libya",2
"Van province, TÃ¼rkiye",2
Syrian/Turkish border,2
"Sahara Desert, between Agadez, Niger and Subratah, Libya",2
"Sahara Desert, Niger, near border with Libya",2
"Off the coast of Sfax, Tunisia",2
"Unspecified location off the coast of Lampedusa, Italy",2
"RÃ­o Bravo, near International Bridge II, Piedras Negras, Coahuila, Mexico",2
"RÃ­o Bravo, near Guardados de Arriba, Miguel AlemÃ¡n, Tamaulipas, Mexico",2
"Rio Bravo, Puente Internacional II, Nuevo Laredo, Tamaulipas, Mexico",2
"Remains retreived in Mahdia, Tunisia",2
"Off the coast of Al-Khums, Libya",2
"Reynosa, Tamaulipas, Mexico",2
Sudanese Libyan border,2
"Rio Bravo, colonia Morelos, Piedras Negras, Coahuila, Mexico",2
Unspecified location in the Central Mediterranean ,2
"Body found at sea near Almadraba beach, Ceuta, Spain",2
"Turquesa River, Comarca EmberÃ¡ CÃ©maco, Darien Gap, Panama",2
"Isabella Ranch, Brooks County, Texas",2
"Near Lesvos, Greece",2
"Body recovered in Azzawya, Libya",2
"In the Sahara desert, around Atbara, Sudan",2
"Found in a a sewege canal in Nador trying to reach the Spanish enclave of Melilla from the port station of Beni Ensar, Nador, Morocco - one of them died in Hassani Hospital ICU",2
Central Mediteranean,2
"Body recovered on Plage Bouyafar, near Nador, Morocco (Alboran sea)",2
"Remains washed ashore at Almutrid, West Zawiya, Libya",2
"Off the coast of Nador, Morocco",2
"Sahara Desert, Libya, near border with Chad",2
"Unspecified location, Chad",2
"Rio Bravo, Patinadero, Nuevo Laredo, Tamaulipas, Mexico",2
"Body recovered on a beach in Rota, CÃ¡diz, Spain",2
"Syria-TÃ¼rkiye border, Idlib province, Syria",2
"Western Bulgaria, near Serbian border",2
"Omdurman, Sudan",2
"Remains washed ashore at Om AlQandeel, Sirte, Libya",2
"Off the coast of Az Zawiyah, Libya",2
"Port of Melilla, Spain",2
"Off the coast of Fnideq, Morocco",2
"Rio Grande, near AcuÃ±a, Coahuila, Mexico",2
"Off the coast of Cabo de Gata, AlmerÃ­a, Spain",2
"Unspecified location, Algeria",2
"In-Guezzam, Algeria, near the border with Niger",2
"Remains washed ashore at Misrata, Libya",2
"In the Sahara desert, after khartoum, Sudan",2
"El Tepejuaje Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",2
"Remains washed ashore at Alzawyia, Almutrd, Libya",2
"Canal Calexico, CA 92231, Imperial County, California, United States",2
"Bodies recovered in Tajoura, Libya",2
Bodies recovered at unspecified location off the coast of Algeria,2
