,Location_of_Death
"Off the coast of Ben Guerdane, Tunisia - boat departed from Zuwara on June 7, fire broke out after 14h in the journey",1
"San Esteban Ranch near AcuÃ±a, Coahuila, Mexico",1
"Remains found at Benzu, Ceuta, Spain",1
"At a hospital in Edirne, TÃ¼rkiye - after being shot in the Evros/Meric river near Alibey, UzunkÃ¶prÃ¼ district, Edirne, TÃ¼rkiye",1
"Unspecified location close to the TÃ¼rkiye-Bulgaria border, in KÄ±rklareli Province, TÃ¼rkiye",1
"Near the migrant camp in Loon-Plage, Grande-Synthe, Dunkirk, France",1
"Near the N8 military zone of Dirkou, Niger,Near the NÂ°8 military zone of Dirkou, Niger",1
"Remains washed ashore at Garabulli (Castelverde), Libya",1
"6 miles Southeast Kerkennah Islands, Tunisia - embarkation from Zuwara, Libya on night between 22-23 May",1
"Off cape Boujdour, Western Sahara - departure from Laayune, on 7 May",1
"Unspecified location in Ahvaz city, Khuzestan Province, Iran",1
"near Aldomirovo swamp, Dragoman, Sofia, Bulgaria",1
"Unspecified location in Fars Province, Iran",1
"Unspecified location in Bandar Anzali city, Gilan Province, Iran",1
"Unspecified location in Mazandaran Province, Iran",1
"Unspecified location in Alborz province, Iran",1
"Unspecified location in Chabahar County, Sistan and Baluchestan Province, Iran",1
"Unspecified location in Jahrom County, Fars Province, Iran",1
"Unspecified location in Shahr-e Babak County, Kerman Province, Iran",1
"Unspecified location in Qeshm Island, Iran",1
"Assamakka, Niger - close to the board with Algeria",1
"Unspecified location in the Sahara Desert, close to ""panel #50 in the dunes"" in Niger",1
"Remains washed ashore 500 meters near Misfat DP, Misfat Al Zawiya, Libya",1
"Remains washed ashore at Zuwara Almanqoub, Libya",1
"Remains washed ashore at Murir Qabes area, approx. 35km west New Berga, Libya",1
"Boat capsized close to the Albori oil field, off the coast of Libya",1
"In a reception camp in Roccella Ionica, Calabria, Italy - after arriving by sea to the same city on 17 May",1
"Between Shelby Park and the International Bridge II, Eagle Pass, Maverick County,Texas",1
"Rio Bravo near Rancho Dos Cruces, Piedras Negras, Coahuila, Mexico",1
"Remains found at ""Ferromex"" customs office, Piedras Negras, Coahuila, Mexico",1
"Unspecified location near the Latvian border in Braslaw district, Belarus",1
"In a ranch near El Indio, Eagle Pass, Maverick County, Texas",1
"At the Pasteur Hospital in Nice, France - after being shot around Les Moulins, Nice, France",1
"Kolpa river at UÄakovci, Slovenia",1
"Body found in grass approx. 300 meters from gas station near Belgrade bypass in the direction of Surcin, Dobanovaci, Serbia",1
"Near MaragantÃ­ River, Darien Gap, ComarcÃ¡ EmberÃ¡-CÃ©maco, Panama ",1
"On highway #57 Matehual-Saltillo, Galeana, Nuevo Leon, Mexico",1
"Remains washed ashore at Ghanema, Libya",1
"Remains washed ashore at Derna, Libya",1
"Unspecified location north of Sabratah, Libya",1
"In a forest near the Hungary-Serbia border near Subotica, Serbia",1
"In Karahisar, Saray/Van, TÃ¼rkiye",1
"In a hospital in Bosaso, Somalia",1
"Evros/Meric river, Ipsala district, Edirne, TÃ¼rkiye - body found after being missing for one week",1
"Near Jose Lopez Portillo thermoelectric power plant, highway #57, Nava, Coahuila, Mexico ",1
"Remains washed ashore at Sabratah beach, 3km west of Sabratha disembarkation point, Libya",1
"At Miskar oil platform Southeast Alataya, Tunisia - embarkation from Libya night between 1-2 July",1
"Bravo River in Santa Maria Colony, Piedras Negras, Coahuila, Mexico ",1
"Remains washed ashore at Alzawiya, Libya",1
"Bravo River near Ejido el Moral,Piedras Negras Coahuila, Mexico",1
"On route to Wahat from Jawf, Kufra, Libya",1
"Kolpa River in Damelj, Slovenia, near border with Croatia",1
"Found in mass grave approximately 30 km north of Dirkou, Niger near border with Libya",1
"Medical center in Obock, Djibouti",1
"Obock (Gueherre), Djibouti",1
"Rio Bravo, Morelos Colony, Piedras Negras, Coahuila, Mexico",1
"Off Zakour beach between Tamalous and Kerkera, Skikda, Algeria",1
"Off the coast of Lanzarote. Spain - departure from Tantan, Morocco",1
"Off the coast of Fuente Caballo, Ceuta, Spain",1
"Off the coast of Almadraba beach, Ceuta, Spain",1
"On the on the railway line between Gevgelija and Demir Kapija, near Miravci, North Macedonia",1
"Off the coast of Djerba Ajim, Djerba, Medinine, Tunisia | embarkation on 29 Jun from Boughrara",1
"120 KM away from Chadian border and 310 KM South Kufra, Libya",1
"16 nautical miles north of Garabouli (Castelverde), Libya - Embarkation from Alkums on 30.06.2",1
"Remains found 50 KM south of Kufra, Libya",1
"Remains washed ashore at Jarjar Umma 170km east of Benghazi, Libya",1
"Remains washed ashore at Al Mutrid 12KM west of Misfat Al Zawiya DP, Libya",1
"Remains washed ashore at Sabratah beach, Libya",1
"Remains washed ashore at Abugrein 118km south Misratah, Libya",1
"RÃ­o Bravo in Benito Juarez Colony,Ciudad AcuÃ±a, Coahuila, Mexico",1
"Bravo River in Reynosa Tamaulipas,Mexico",1
" Bodies found on Playa Arriba,24000, Dominican Republic ",1
"In canal near 2600 block of West Paisano Drive near the old Asarco site in West El Paso, Texas",1
"Unspecified canal in El Paso county, Texas",1
"Canal at 600 S Clint, San Elizario, El Paso county, Texas",1
"Canal near Jonathan W. Rogers Water Treatment plant at 10000 Southside Road, El Paso, Texas",1
"Rio Bravo near Piedras Negras, Coahuila, Mexico",1
"Km. 46 of the Monterrey-Reynosa highway, Nuevo Leon, Mexico",1
"Entrance ramp to I-10 near Van Horn, Culberson County, Texas",1
"Remains washed ashore at Sealine beach, Khums, Libya",1
"Remains washed ashore at the coast of Tocra, 25km west of Marj, Libya",1
"Remains washed ashore at Tajoura beach and Ghot Al Roman, Tajoura, Libya",1
"Near Melilla's Barrio Chino border post, Nador, Morocco",1
"33Â°41âN 012Â°57âE in the Mediterrenean, Libyan SAR, Libya",1
"Off the coast of Kafountine, Senegal",1
"Remains washed ashore on the city corniche of Derna, Libya",1
"Remains retreived from sea near Andalus beach and taken to Tajoura port, Tajoura, Libya",1
"Off the coast of Laayoune, Western Sahara - embarkation from Guelmin on 11 May",1
"Off Fouka, Tipaza, Algeria - embarkation from Zeralda, Algiers, Alergia",1
"Found hung in a truck trailer parked in the Transmarck area, pas-de-Calais, France",1
"50 meters off the coast of Benitez Beach, Ceuta, Spain",1
"Unspecified location in South Khorasan province, Iran",1
"Unspecified location in Karaj city, Alborz Province, Iran",1
"Unspecified location in Esfahan province, Iran",1
"Unidentified location in Shahr-e Babak County, Kerman Province, Iran",1
"Remains washed ashore at Ghanima (between Alauas and Al Khoms), Libya",1
"Unspecified location near the Polish border in Berestovitsky district, Belarus",1
"Unidentified location in Nain County, Isfahan Province, Iran",1
"Unidentified location on Shiraz Highways, Fars province, Iran",1
"Unidentified location in Bushehr Province, Iran",1
"Unidentified location in Qeshm county, Hormozgan province, Iran",1
"DÃ©nia, Alicante, Spain - embarked from Cherchell, Algeria on 21 Mar",1
"Unidentified location in Kahnuj County, Kerman province, Iran",1
"Off Al Argoub, Southeast Dakhla, Western Sahara",1
"International Waters en route to the U.S. Virgin Islands near the island of St. Kitts and Nevis, Caribbean Sea",1
"Unspecified location in the BiaÅowieÅ¼a National Park, near the HwoÅºna River, Poland",1
"Off Sfax, Tunisia - embarkation from Jebiniana, Sfax, Tunisia",1
"Unspecified location between Kerman-Jahrom, Iran",1
"Unspecified location in Chahbahr city, Sistan and Baluchestan Province, Iran",1
Off the coast of Libya (see coordinates for exact location of rescue),1
"Unspecified gas station in TÃ rrega, Spain",1
"Boat capsized in Kyiv reservoir, Ukraine attempting to flee country",1
"Remains washed ashore near Alzawyia Mesfat port, Libya",1
"Onboard a boat off Al-Khums, Libya - disembarked at Tripoli Abussita DP, embarked from Al-Khums on 31Mar 02:00",1
"Rio Bravo near International Bridge II, Piedras Negras,Coahuila, Mexico",1
"Unspecified loaction in Alborz province, Iran",1
"Unspecified location in Mashad city, Razavi Khorasan province, Iran",1
"Unspecified location in Shiraz city, Fars province, Iran",1
"Unspecified location in the Mediterranean - embarkation from Ghazaouet, Algeria on 11 Mar",1
"70 miles off Capo Spartivento, Sardinia, Italy (Italian SAR zone)",1
"Remains found in the forest area of ââÅÃ¼krÃ¼paÅa border village, KÄ±rklareli, TÃ¼rkiye",1
"Unspecified location in Bosaso, Somalia",1
"After taking a turn from AS24 service station, avenue de la LibertÃ© in Transmarck area, Marck, Pas-de-Calais, France",1
"On train tracks near Rue de Normandie, Pas-de-Calais, France",1
"Off Guelmim, Morocco",1
"Died on the way to hopsital 62 km from Petea-Csengersima border crossing, AranyosapÃ¡ti, Hungary",1
"Near Ejido la Navaja, Piedras Negras, Coahuila de Zaragoza, MÃ©xico",1
"Rio Bravo near Morelos Colony, 26030, Piedras Negras, Coahuila, Mexico",1
"Unspecified location in Central Med, disembarkation in Lampedusa, Italy - Embarkation from Sfax, Tunisia",1
"Darien Gap, Come Gallina Hill Guna Yala Region, Panama",1
"Off Ras Bayad, Tobruk, Libya - embarkation from Tobruk at 03:00 AM",1
"Remains washed ashore at Marsa Della port, Az-Zawiyah, Libya",1
"Off the coast of Terfaya, Morocco - embarkation from Terfaya",1
"Unspecified location in the Mediterrenean - embarkation from Mahdia, Tunisia 4 Mar",1
"Off the coast of Musaid (600 KM East Benghazi), Libya",1
"Rio Bravo at the Braulio Fernandez Park, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Remains washed ashore at Tolmeitha (100KM NE Benghazi), Libya",1
"Rio Bravo at  10 de Mayo, 88616 Reynosa, Tamaulipas, Mexico",1
"Rio Bravo by the City Water and Drainage Board, Matamoros, Tamaulipas, Mexico",1
"At Lojane, municipality of Lipkovo, North Macedonia",1
" A14 highway near Forliâ town, Emilia-Romagna region, Italy",1
"Turkish-Syrian border in Darbasiyah town, Hasakah province, Syrian Arab Republic",1
Unspecified location in the Mediterrenean 36 miles off Tunisian coasts,1
"Rio Bravo at the high of at kilometer 28 of the highway to Piedras Negras, Coahuila, Mexico.",1
"Remains washed ashore plage B'hira (Ouled Benayed), Souk Tlata, Bab El Assa, Ghazaouet, Tlemcen, Algeria",1
"Rio Bravo near Isla del Mudo, Piedras Negras, Coahuila de Zaragoza, Mexico",1
"Rio Bravo in Presidentes Colony, Piedras Negras, Coahuila,Mexico",1
"Off Zuwara, Libya - embarkation from Zuwara 24 Mar 22:00",1
"At kilometer 107 of the road from Querobabi to CarbÃ³, near military checkpoint, BenjamÃ­n Hill, Sonora, Mexico",1
"Approx. 3 miles West Ramkeen Islands, Tripoli, Lebanon - embarkation from Qammoura, Tripoli, Lebanon",1
"Off Sfax, Tunisia - embarkation of four boats from Al Amra and Jebiniana, Sfax on night between 22 and 23 April",1
"Unspecified location in the Mediterrenean - disembarkation at Misfat Al Zawiya, Libya, embarkation from Sabratha on 23 Apr 21:00 ",1
"Bus overturned near the village of BÃ¼vetli, Diyadin, AÄrÄ±, TÃ¼rkiye",1
"132mn south of Gran Canaria, Canary Islands - embarkation from Boujdor, Morocco on 24 Apr",1
Unspecified location in the Atlantic between Western Sahara and Canary Islands - disembarkation at Laayoune,1
"Rio Bravo, in front of Ejido El Centinela, Piedras Negras, Coahuila de Zaragoza, Mexico",1
"Evros-Meric river near Soufli, Greece",1
"Unspecified location in the BiaÅowieÅ¼a National Park, Zamosze, Poland",1
"On the Trakia highway aorund the 245km, Sliven Province, Bulgaria",1
"Remains recovered close to the southern seawall, Melilla, Spain - thought to have swimmed from the Moroccan port of BÃ©ni Ansar",1
"Rio Bravo 1 mile west of Del Rio Bridge, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo near Del Rio International Bridge, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Unspecified location in the Tisza River, Transcarpathia, Ukraine on border with Romania",1
"Unspecified location off the coast of Misrata, Libya - embarkation at Al Khums Naval base",1
"Federal Highway 53,CastaÃ±os, Coahuila de Zaragoza, Mexico",1
"Remains washed ashore at Abubasla, Zuwara, Libya",1
"Rio Bravo near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico",1
"Around 141km south of Gran Canaria, Spain - embarcation from Boujdour, Western Sahara",1
"Remains retreived from the waters off the coasts of El Awabed-Jebiniana, Sfax, Tunisia",1
"Rio Bravo Ejido Santo Domingo,Municipality of Guerro, Coahuila, Mexico",1
"Rio Bravo near Guardados de Arriba Colony, Miguel Aleman, Tamaulipas, Mexico",1
"On the side of the Tijuana-U.S. border wall, Tijuana, Baja California, Mexico",1
"Guerrero,Coahuila de Zaragoza, Mexico",1
"Rio Bravo,Near ""Jardin"", Heroica Matamoros, Tamaulipas, Mexico",1
"Unspecified location in the Atlantic Ocean, disembarkation at La Restinga port, El Hierro, Canary Islands - embarkation from Nouakchott, Mauritania on 19 March",1
"On the Å tajerska leg of the A1 motorway, Slovenske Konjice, Slovenia",1
"On the A10 highway between Genoa and Ventimiglia, near Bordighera, Liguria, Italy near French border",1
"Severin na Kupi, Rijeka-Gorski kotar County, Croatia",1
"During transport on the road between Rezovo to Gramatikovo, Bulgaria",1
"Remains found in a ravine in Pop Ivan massif, MaramureÈ region on Romanian border, Ukraine",1
"Near the entrance to the H3 community in San Pedro de MacorÃ­s, Dominican Republic ",1
"Rio Bravo near International Bridge AcuÃ±a-Del Rio Texas, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Unspecified location off Sfax, Tunisia",1
"Off the coast of Louata, Sfax, Tunisia - embarkation from El Amra, Sfax",1
"Off the coast of Surman, Libya",1
"Remains washed ashore Akhfennir, Terfaya, Morocco",1
"La Fe Hospital in Valencia, Spain - after having been in a vehicle accident on 28 March after arriving from Ukraine",1
"Puerto de la Romana, La Romana Beach, Dominican Republic",1
"Rio Bravo at Morelos, AcuÃ±a, Coahuila, Mexico",1
"Off Mahdia, Tunisia",1
"Ouargla, Algeria",1
"At Tessalit, Mali - close to the border with Algeria",1
"Unspecified location off Sabratah, Libya",1
"River MreÅ¾nica at SvojiÄi and Donje Dubrave, Karlovac County, Croatia",1
"Boat capsized off the coast of Samos, Greece and was pushed back to Turkish territory. Boat departed from KuÅadasÄ±, TÃ¼rkiye",1
"MalecÃ³n de Playas de Tijuana, near border wall, Tijuana, Baja California,Mexico",1
"Remains found floating near Playa de La Cueva, near Punta de la Jaqueta, off the coast of Tuineje and Antigua, Fuerteventura, Canary Islands, Spain",1
"Off the coast of Lampedusa, Italy - boat departed from Tunisia",1
"Hospital in Agadez, Niger",1
"Sahara Desert near to small village between Adbara, Sudan and Aswan, Egypt",1
"Rio Grande in ranch near Eagle Pass, Maverick County, Texas",1
"In the Sahara desert near to Atbara, Sudan. Other reports about 20 or 25km away from Adbara",1
"Off the coast of Radfan, Hadramout Governorate, Yemen",1
"Rio Grande, Rancho Las Tejas, Guerrero, Mexico",1
"Banks of Rio Grande, near Laredo, Webb County, Texas",1
"Near Casa del Migrante in Nuevo Laredo, Tamaulipas, Mexico",1
"Rio Grande in Piedras Negras, Coahuila, Mexico",1
"Sahara Desert, near Berber, Sudan",1
"Rio Grande near Reynosa, Tamaulipas, Mexico",1
A16 motorway near Calais,1
"Between Shimaliya and wadi halfa, Sudan in the desert",1
"Rio Grande, near Eagle Pass, Maverick County, Texas",1
"Calais 'Jungle', France",1
"Briscoe Ranch, Dimmit County, Texas",1
"Ranch near Falfurrias, Brooks County, Texas",1
"Rio Grande near El Indio, Maverick County, Texas",1
"bodies washed up to coast near Sabratha, Libya",1
"Sahara Desert, between Agadez, Niger and Sabratha, Libya",1
"In the desert near to Aswan, Egypt",1
"East of the Otay Lakes, San Diego County, California",1
"US Highway 83 near La Grulla, Starr County, Texas",1
"Bodies washed up in Al Mayah, Libya",1
"""desert of Mexico""",1
"Desert near Nogales, Santa Cruz County, Arizona, US",1
"Rio Grande near El 5 ranch, Maverick County, Texas",1
"Sahara Desert between Atbara Sudan and Aswan, Egypt",1
Four hours away from the coast of Libya,1
Near the Southwest border with Sudan and Eritrea,1
"32 Km off the coast of Libya, south of Malta",1
"Sahara Desert in Aswan, Egypt",1
"Sahara desert, close to Berber, Sudan",1
"Shemaliya Province, Sudan",1
"Sahara desert, near to small village between Abu Hamad and Aswan, Egypt",1
multiple locations at the Syrian/Turkish border,1
"About 20 nautical miles from Sabratha, Libya",1
In Libyan national waters,1
"Rio Grande, at Reynosa Diaz, Tamaulipas, Mexico",1
"Between Northern Africa and Calabria, Italy",1
"Near Carrizo Springs, Dimmit County, Texas",1
Strait of Sicily,1
"Sahara Desert, between Agadez, Niger and Subratha, Libya",1
"Sahara Desert, between Zindane, Niger and Subratah, Libya",1
Off the Coast of Libya (left from Sabratha),1
Highway leading to Calais Port,1
"Rio Grande at Nuevo Laredo, Tamaulipas, Mexico",1
"Near Teseney, Eritrea, at border with Sudan",1
"Train tracks near Aswan, Egypt",1
"Sahara Desert, north of Berber, Sudan",1
"97 km north of border, Kenedy County, Texas",1
"Havanna, Hidalgo County, Texas",1
"Anza-Borrego Desert State Park, San Diego County, California",1
Border fence from Morocco into Ceuta in the BenzÃº area,1
"Friendship bridge that crosses from  Ouanaminthe, Haiti to Dajabon, Dominican Republic",1
Bypass over highway towards Port of Calais,1
"Body washed up to Az Zawiyah, Libya",1
"Desert near Del Rio, Val Verde County, Texas",1
"Havana, Hidalgo County, Texas",1
"Near Mission, Hidalgo County, Texas",1
"Rio Grande, ejido Purisima, at Cuidad AcuÃ±a, Coahuila, Mexico",1
"Bodies found on shore of Surman, Libya",1
"Viaduct in the A8 motorway, near St Agnes, Menton, France, at the Italy-France border",1
"Bodies found on shore of Az Zawiya, Libya",1
"Matuntugo, Gulf of Uraba, Colombia (Darien Gap)",1
"Desert near to Aswan, Egypt",1
"Desert near Abou Hammad, Egypt",1
"Danube River, near village of Archar, Bulgaria",1
"Rio Grande near Km. 90 of Carretera 2 between Guerrero and Hidalgo, Coahuila, Mexico",1
"Darien Gap, Meteti, Panama, close to the border with Colombia",1
"Unspecified location northwest of Tripoli, Libya",1
"Gulf of Uraba, Colombia, near border with Panama",1
"Between Hidalgo, Coahuila, Mexico and the US border",1
"N216, Port access ramp, Calais, France",1
"Kessala, Sudan",1
"Small mountain cave near to Aswan, Egypt",1
"Abandoned ABEX factory, Patras, Greece",1
"Rio Grande, south of Eagle Pass, Maverick County, Texas",1
"Off the coast of Sidi Mechreg, Tunisia",1
"In north Sinai Desert, Egypt",1
"12 km (7.5 m) off the coast of Burg Rashid, Egypt",1
"Unknown location between Cuba and the Florida Keys, US. Bodies found in various locations.",1
"Showran coast, Shabwa, Hadhramaut Governorate, Yemen",1
"Train tracks near port of Calais, France",1
"Bodies found at Tobruk, Libya",1
"1610 East Paisano Drive, El Paso, El Paso County, Texas",1
Channel of Sicily ,1
"Desert, southern California",1
"Between Izmir, TÃ¼rkiye and Chios, Greece",1
"Carretera 2, km 118 near Hidalgo, Coahuila, Mexico",1
"Near Sawa, Forto, Eritrea, at border with Sudan",1
"RÃ­o Bravo, 300 meters from âLa Cruz del Immigrateâ, Matamoros, Tamaulipas, Mexico",1
"In Al Hajer captive camp, Sudan",1
"Desert near Abu Hamad, Sudan",1
"Beach near AlmuÃ±Ã©car, Granada, Spain",1
"Body washed ashore in Az-Zawiyah, Libya",1
"Bodies washed ashore in Sabratha, Libya",1
"Desert near Mclean, Gray County, Texas",1
"Near to abu Hamad, Egypt in the desert",1
"20 miles north of Sabratha, Libya",1
"Rio Grande near Brownsville, Cameron County, Texas",1
"Banks of river in Darien Jungle, Panama, on border with Colombia",1
"Near A16 motorway towards Port of Calais, France",1
"Woods in Serbia, near border to Bulgaria",1
Unspecified location between North Africa and Italy. ,1
"Rio Grande, ejido Balcones at Acuna, Coahuila, Mexico",1
"Body found on beach in La Mamola, Granada, Spain",1
"In a wash north of Tubac, Santa Cruz County, Arizona",1
"Rio Grande south of Eagle Pass, Maverick County, Texas",1
"Desert, Shimaliya Province, Sudan",1
"KM 167 of federal highway near Reynosa, Tamaulipas, Mexico",1
"Sahara Desert, between Agadez, Niger and Benghazi, Libya",1
"Caborca, Sonora, Mexico",1
"Dimmit County, Texas",1
"Syrian-Turkish border near Khirbet al-Joz village in the northern countryside of Jisr al-Shughur, TÃ¼rkiye",1
"Sahara desert near small village, Aswan, Egypt",1
"16 miles off the coast of VÃ©lez-MÃ¡laga, Spain",1
"In Sahara desert near Aswan, Egypt",1
"Rio Grande near La Playita, Reynosa, Tamaulipas, Mexico",1
"Near Samos Island, Greece",1
"2 hours off the coast of el-Saloum, Egypt",1
"Train rails in Nava municipality, near Piedras Negras, Coahuila, Mexico",1
" Syrian/Turkish border, near al-Duriya",1
"Near Izmir, TÃ¼rkiye, possibly en route to Samos, Greece",1
"In Sahara desert, between Atbara, Sudan and Abu Simbel, Egypt",1
"Syrian/Turkish border, near Khurbat al-Juz-GÃ¼veÃ§Ã§i border crossing",1
"off the coast of Lampedusa, Italy",1
"Syrian/Turkish border near Kuran, Afrin, northwestern Aleppo province",1
"Syrian/Turkish border near Kafr Sajneh, Idlib province",1
"In the mountain cave, between Atbara, Sudan and Abu Simbel, Egypt",1
"Banisute near to Cairo, Egypt",1
"Near to Abu Hamad small town., Sudan",1
"Plutarco ElÃ­as Calles Municipality, Hermosillo, Sonora State, Mexico",1
"Rio Grande near Km. 183 of the Riberena highway, Reynosa, Mexico",1
"Syrian/Turkish border near al-Khyara, Maarrat al-Nu'man, Idlib province",1
Syrian/Turkish border near northern Idlib province,1
"Rio Grande near Reynosa (Hidalgo County, Texas)",1
"Syrian/Turkish border near Deir Sawan, Afrin",1
"Rio Grande, near Matamoros, Tamaulipas, Mexico",1
"Sahara Desert, Algeria",1
"Sahara Desert between Khartoum, Sudan and Tripoli, Libya",1
"Rio Grande, near Eagle Pass, Maverick county, Texas",1
"In the Sahara desert, between Atbara, Sudan and Abu Simbel, Egypt",1
Syrian/Turkish border near Ras al-Ayn (Sri Kaneh),1
"Franklin Canal, near Free Bridge, Ciudad Juarez, Chihuahua, Mexico",1
"Malko Tarnovo, Bulgaria (near border with TÃ¼rkiye)",1
"In the Sahara desert near Aswan, Egypt",1
"In the Sahara desert near to Atbara, Sudan",1
"Crossing I-35 near Austin, Texas",1
"130 miles west of Marco Island, off southwest Florida",1
"Near the port of Zawiya, west of Tripoli, Libya",1
"At the Sudanese Libyan border, Sudan",1
"Lesvos Island, Greece",1
"in Riviera, Kleberg County, Texas",1
"Canal in Mission, Hidalgo County, Texas",1
"Syrian/Turkish border, Khurbat al-Juz-GÃ¼veÃ§Ã§i border crossing",1
"San Giovanni di Dio Hospital, Cagliari, Italy",1
Syrian/Turkish border near northern Aleppo province,1
"Baby Beach, San Nicholas, Aruba",1
"Yuma, Arizona",1
"Wadi Halfa in the desert, Sudan",1
"Rio Grande, Hidalgo County, Texas",1
"bodies found on coast of Garabulli, Libya",1
"ranch in Falfurrias, Hidalgo County, Texas",1
"Interstate 8 near Andrade, California",1
"Syrian/Turkish border, Ain al-Kawakh near the Khurbat al-Juz-GÃ¼veÃ§Ã§i border crossing",1
"Mexico-US border, Santa Cruz County, Arizona",1
"A16 Motorway, near Calais, France",1
"off the coast of Kafr el-Sheikh, Egypt",1
"In Oxfordshire, England",1
"Syrian/Turkish border near Marqabah, Al-Raqqah province",1
Syrian/Turkish border near Al-Raqqah province,1
"RÃ­o Bravo, near Rancho RÃ­o Grande, KM110 of Federal Highway 2, between Guerrero and Hidalgo, Coahuila, Mexico",1
Syrian/Turkish border near northern Al-Raqqah province,1
"At the desert one day drive from khartoum, Sudan",1
"Hospital in Nador, Morocco after attempting to reach through sewer Melilla, Spain",1
"off the coast of Isla de Mona, Puerto Rico",1
"Rio Grande, near La Playita, Reynosa, Tamaulipas, Mexico",1
"Near the border of Sudan, after six hours walk from Tesseney, Eritrea",1
"Syrian/Turkish border near Khirbet al-Joz, Idlib province",1
"Between Italy and Libya, likely near the coast of Western Libya",1
"near Yuma, Arizona",1
"At the desert, Sudan",1
"Rio Grande, near Brownsville, Cameron County, Texas",1
"Abusanbal (Abu Simbel), Egypt",1
"Atbara and Abu Hammad, Sudan and Egypt",1
"between Italy and Libya, likely near the coast of Western Libya",1
Syrian/Turkish border near Al-Hasakah,1
"Desert near Assamaka, Niger near border with Algeria",1
"Near Al Hajer, Sudan",1
"Bodies found on the coast of Zuwara, Libya",1
"In small village around Abou Hammad, Egypt",1
"Sahara Desert near to Abu Simbel, Egypt",1
"near I-5 in San Ysidro, San Diego, California",1
"ranch in El Indio, Maverick County, Texas",1
"desert near Webb and Zavala counties, Texas",1
"bodies found at various points in the Rio Grande, Miguel Aleman, Tamaulipas, Mexico",1
Near Eritrea - Sudan border,1
"Between Libya and Italy, likely near the coast of Western Libya",1
Off the coast of Crete (departed from Libya and likely drifted off course),1
"Desert near Mission, Hidalgo County, Texas (picked up by USBP in Falfurrias, Texas)",1
Tisza River between Serbia and Hungary,1
"Off the coast of Western Libya. Survivors brought to Lampedusa, Italy",1
"Between Cabo Bojador, Western Sahara, and Canary Islands, Spain",1
"At the Libyan Desert, after a three day drive from the Sudanese Border., Libya",1
"Chula Vista farm, near Caborca, Sonora, Mexico, 40 km south of US border",1
"In the Sahara desert between Atbara and Aswan, Sudan",1
"Around Abu Hamad at small village, Sudan",1
"At mountain cave in Sahara desert near to Aswan, Egypt",1
"Nile river while crossing from shegeraib refugee camp to khartoum, Sudan",1
"Off Sardinia, Italy",1
between Sudan and Egypt border in the desert,1
"Between Aswan and Luxor, Egypt",1
"Interstate 35 access road in Webb County, Texas",1
"Rio Grande near Piedras Negras, Coahuila, Mexico",1
"Sahara Desert, Agadez, Niger and Subratah, Libya",1
"Off the coast of  Western Libya. Survivors brought to Lampedusa, Italy",1
"35 nautical miles north of Zuwara, Libya",1
"Off the coast of  Western Libya. Survivors brought to Sicily's Agrigento Porto Empedocle, Italy",1
"Interstate 35, near Encital, La Salle County, Texas",1
"Off the coast of Western Libya. Survivors brought to Brindisi, Apulia, Italy",1
"Highway A-16, near Calais, France",1
Syrian/Turkish border north of Deir Ezzor province,1
Off the coast of Western Libya,1
"Desert, Hidalgo County, Texas",1
"In the All-American Canal, Imperial County, California",1
"Sahara Desert, Ajdabiya, Libya",1
"Rio Grande, near Guerrero, Coahuila, Mexico",1
"Off the coast of Bodrum, MuÄla, TÃ¼rkiye. Likely en route to Kos",1
Southeast Iran,1
Unespecified location in Libya,1
"A16 motorway leading to port, Calais, France",1
Bodies found near Sabratha Libya,1
"Rio Bravo, Ejido El Porvenir, near International bridge Reynosa - Pharr, Reynosa, Tamaulipas, Mexico",1
"Between 20 de noviembre and Oasis street, Valle de Mexicali, Baja California, Mexico",1
"RÃ­o Bravo, Fraccionamiento Arboledas, Matamoros, Tamaulipas, Mexico",1
"Near Punta Borinquen, Aguadilla, Puerto Rico",1
"Galo Ranch, Brooks County, Texas",1
"24 miles north of Sabratha, Libya",1
"Off the coast of La Jolla, San Diego County, California",1
Serbia - Croatia Border,1
"Motorway near Hato del Medio, Monte Cristi, Dominican Republic",1
"Railway bridge: Puente Negro, Rio Bravo, Nuevo Laredo, Tamaulipas, Mexico",1
"Rio Bravo, ejido San RamÃ³n, Rancho las dos cruces, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo, near Sub-estaciÃ³n de Bombeo AnzaldÃºas, Reynosa, Tamaulipas, Mexico",1
"Unspecifed location, Libya ",1
"Rio Bravo, International Bridge NÂ° 2, Piedras Negras, Coahuila, Mexico",1
"RÃ­o Bravo, Las Adjuntas, Rancho Vela, Piedras Negras, Coahuila, Mexico",1
"In the desert around the border of Egypt and Sudan, near Aswan",1
"Tisza River, Subotica, Hungary border",1
"RÃ­o Bravo, Ejido PurÃ­sima, Cuidad AcuÃ±a, Coahuila, Mexico",1
"RÃ­o Bravo, Colonia Claudette, Nuevo Laredo, Tamaulipas, Mexico",1
"A10 motorway, near Ventimiglia, Italy",1
"Hospital in Vibo Valentia, Italy",1
"Gulsa, Sudan",1
